TIME,price,volume
2014-01-01 09:01:29.719,100,1985
2014-01-01 09:02:33.034,100.0169,1520
2014-01-01 09:03:36.556,100.1105,46
2014-01-01 09:05:02.934,100.0921,616
2014-01-01 09:07:48.582,100.0487,3019
2014-01-01 09:09:43.598,100.1127,1682
2014-01-01 09:10:06.833,100.0727,2323
2014-01-01 09:11:06.932,100.0876,957
2014-01-01 09:11:39.653,100.0563,22
2014-01-01 09:13:04.873,100.131,620
2014-01-01 09:14:12.733,100.161,351
2014-01-01 09:15:05.272,100.162,1196
2014-01-01 09:19:03.185,100.173,2268
2014-01-01 09:21:39.635,100.1048,1331
2014-01-01 09:23:13.632,100.0741,2423
2014-01-01 09:24:00.497,100.0395,1318
2014-01-01 09:25:01.539,99.99374,1162
2014-01-01 09:25:36.937,99.92279,577
2014-01-01 09:27:58.168,99.83731,1043
2014-01-01 09:28:33.518,99.84022,999
2014-01-01 09:29:45.840,99.81929,228
2014-01-01 09:30:29.486,99.82355,730
2014-01-01 09:30:32.684,99.82619,1342
2014-01-01 09:32:53.506,99.85753,307
2014-01-01 09:32:58.433,99.87291,333
2014-01-01 09:34:17.448,99.86293,932
2014-01-01 09:35:10.422,99.88689,3444
2014-01-01 09:36:00.766,99.94029,1010
2014-01-01 09:36:16.576,99.95218,413
2014-01-01 09:37:47.203,99.99176,1622
2014-01-01 09:39:17.219,99.99654,3407
2014-01-01 09:43:18.217,99.87049,499
2014-01-01 09:43:24.490,99.87307,724
2014-01-01 09:45:27.309,99.90097,462
2014-01-01 09:47:44.619,99.89607,493
2014-01-01 09:50:46.224,99.98972,1559
2014-01-01 09:53:44.133,99.944,2399
2014-01-01 09:53:46.219,99.95966,2618
2014-01-01 09:54:19.868,99.92131,2246
2014-01-01 09:54:25.383,99.9231,3274
2014-01-01 09:54:48.822,99.89919,1108
2014-01-01 09:56:14.426,99.9355,2065
2014-01-01 09:57:01.739,99.97416,1354
2014-01-01 09:58:08.734,99.95471,3629
2014-01-01 09:59:34.620,99.91703,1418
2014-01-01 10:00:51.334,99.87191,1587
2014-01-01 10:07:41.674,99.77642,1383
2014-01-01 10:08:13.895,99.74352,604
2014-01-01 10:10:51.004,99.67467,171
2014-01-01 10:14:41.539,99.74533,400
2014-01-01 10:15:27.384,99.70383,1926
2014-01-01 10:15:34.079,99.69153,268
2014-01-01 10:17:38.116,99.70816,173
2014-01-01 10:22:12.248,99.7155,1252
2014-01-01 10:24:23.030,99.76494,2356
2014-01-01 10:26:43.698,99.72599,1126
2014-01-01 10:30:37.851,99.78284,946
2014-01-01 10:34:16.582,99.63373,133
2014-01-01 10:34:30.270,99.67958,136
2014-01-01 10:35:00.765,99.71708,396
2014-01-01 10:37:55.048,99.64013,345
2014-01-01 10:38:30.882,99.55316,456
2014-01-01 10:38:50.197,99.56525,3146
2014-01-01 10:39:17.557,99.57054,422
2014-01-01 10:42:50.612,99.74828,1480
2014-01-01 10:42:54.542,99.7603,322
2014-01-01 10:48:11.863,99.91419,1558
2014-01-01 10:48:54.243,99.89263,1529
2014-01-01 10:49:32.564,99.88644,2672
2014-01-01 10:50:09.742,99.88366,1517
2014-01-01 10:51:34.794,99.83344,3401
2014-01-01 10:51:35.974,99.82856,1619
2014-01-01 10:53:07.175,99.76658,2425
2014-01-01 10:53:37.812,99.7753,4446
2014-01-01 10:55:04.665,99.82989,2702
2014-01-01 10:55:21.918,99.85196,218
2014-01-01 10:56:04.352,99.79295,576
2014-01-01 10:56:56.146,99.7939,269
2014-01-01 11:00:03.198,99.71639,1499
2014-01-01 11:00:11.727,99.72735,1287
2014-01-01 11:00:21.514,99.73804,1341
2014-01-01 11:00:45.980,99.70273,948
2014-01-01 11:02:17.121,99.68694,1546
2014-01-01 11:03:01.109,99.72995,1433
2014-01-01 11:04:21.495,99.73497,4198
2014-01-01 11:06:37.273,99.81692,2415
2014-01-01 11:08:07.227,99.78707,382
2014-01-01 11:14:03.246,99.79071,691
2014-01-01 11:16:53.861,99.65763,2919
2014-01-01 11:18:23.250,99.73358,81
2014-01-01 11:18:53.948,99.71486,1564
2014-01-01 11:19:01.781,99.72527,660
2014-01-01 11:21:45.894,99.80189,1956
2014-01-01 11:22:28.220,99.74347,581
2014-01-01 11:24:26.821,99.73684,168
2014-01-01 11:28:37.455,99.72946,146
2014-01-01 11:30:28.063,99.66869,1224
2014-01-01 11:32:11.333,99.63791,662
