TIME,price,volume
2014-01-01 09:00:08.971,100,1276
2014-01-01 09:00:15.303,100.0314,321
2014-01-01 09:00:21.655,100.0323,856
2014-01-01 09:00:30.293,100.0413,1450
2014-01-01 09:00:46.858,100.0193,536
2014-01-01 09:00:58.359,100.0061,738
2014-01-01 09:01:00.683,100.0053,1260
2014-01-01 09:01:06.693,100.0236,1749
2014-01-01 09:01:09.965,100.0463,121
2014-01-01 09:01:18.487,100.0332,1419
2014-01-01 09:01:25.273,100.0346,1771
2014-01-01 09:01:30.527,100.0335,1295
2014-01-01 09:01:54.318,100.0517,1386
2014-01-01 09:02:09.963,100.0409,1318
2014-01-01 09:02:19.363,100.0414,1911
2014-01-01 09:02:24.049,100.0465,336
2014-01-01 09:02:30.153,100.0449,881
2014-01-01 09:02:33.693,100.0458,2469
2014-01-01 09:02:47.816,100.093,982
2014-01-01 09:02:51.351,100.096,2350
2014-01-01 09:02:58.584,100.0738,313
2014-01-01 09:03:02.948,100.0693,1182
2014-01-01 09:03:03.268,100.0697,2016
2014-01-01 09:03:17.350,100.0443,1020
2014-01-01 09:03:17.843,100.043,135
2014-01-01 09:03:25.744,100.0574,123
2014-01-01 09:03:31.042,100.0556,346
2014-01-01 09:03:36.076,100.0514,135
2014-01-01 09:03:37.657,100.0384,437
2014-01-01 09:03:46.720,100.0271,67
2014-01-01 09:03:55.721,100.0417,43
2014-01-01 09:04:19.821,100.0451,910
2014-01-01 09:04:20.449,100.042,643
2014-01-01 09:04:32.730,100.0246,578
2014-01-01 09:04:46.461,100.0463,1556
2014-01-01 09:05:04.622,100.0162,1359
2014-01-01 09:05:22.413,99.98914,695
2014-01-01 09:05:22.621,99.98952,370
2014-01-01 09:05:25.986,99.99669,979
2014-01-01 09:05:26.538,100.0017,384
2014-01-01 09:05:28.882,100.0093,19
2014-01-01 09:05:37.442,100.0187,173
2014-01-01 09:05:42.173,100.0196,807
2014-01-01 09:05:48.873,100.0279,2923
2014-01-01 09:05:57.462,100.03,1469
2014-01-01 09:06:05.133,100.0233,615
2014-01-01 09:06:46.167,99.98622,2930
2014-01-01 09:06:49.389,99.98978,1069
2014-01-01 09:07:05.100,100.0021,27
2014-01-01 09:07:28.153,99.99557,1966
2014-01-01 09:07:32.738,99.98938,960
2014-01-01 09:07:33.407,99.98776,50
2014-01-01 09:07:45.811,99.98564,1235
2014-01-01 09:08:13.224,100.0052,1656
2014-01-01 09:08:26.303,100.0032,1657
2014-01-01 09:08:40.369,99.98241,337
2014-01-01 09:09:03.785,99.97217,1665
2014-01-01 09:09:25.658,99.99774,119
2014-01-01 09:09:27.027,100.0054,876
2014-01-01 09:09:30.076,99.99962,3477
2014-01-01 09:09:47.504,100.0081,394
2014-01-01 09:09:51.088,100.0092,266
2014-01-01 09:09:53.019,100.0017,611
2014-01-01 09:09:55.755,100.0043,1307
2014-01-01 09:10:17.061,99.99092,2755
2014-01-01 09:10:17.454,99.9863,422
2014-01-01 09:10:49.186,99.97289,103
